🕘️更新时间,#genre#
2026-07-25 14:44:01,http://43.248.187.60:2026/hbyx.php?id=cctv1

📺央视频道,#genre#
CCTV-1,http://43.248.187.60:2026/hbyx.php?id=cctv1
CCTV-1,http://45.192.97.170:8880/play/628.m3u8
CCTV-1,http://45.192.97.170:8880/play/374.m3u8
CCTV-1,http://45.192.97.170:8880/play/586.m3u8
CCTV-1,http://45.192.97.170:8880/play/375.m3u8
CCTV-2,http://api.mgsp.eu.cc/631780532
CCTV-2,http://43.248.187.60:2026/hbyx.php?id=cctv2
CCTV-2,http://82.156.59.211:3631/yspios.php?id=cctv2
CCTV-2,http://45.192.97.170:8880/play/629.m3u8
CCTV-2,http://45.192.97.170:8880/play/379.m3u8
CCTV-3,http://82.156.59.211:3631/yspios.php?id=cctv3
CCTV-3,http://api.mgsp.eu.cc/624878271
CCTV-3,http://43.248.187.60:2026/hbyx.php?id=cctv3
CCTV-3,http://45.192.97.170:8880/play/382.m3u8
CCTV-3,http://45.192.97.170:8880/play/387.m3u8
CCTV-4,http://43.248.187.60:2026/hbyx.php?id=cctv4
CCTV-4,http://api.mgsp.eu.cc/631780421
CCTV-4,http://82.156.59.211:3631/yspios.php?id=cctv4
CCTV-4,http://45.192.97.170:8880/play/418.m3u8
CCTV-4,http://45.192.97.170:8880/play/389.m3u8
CCTV-5,http://43.248.187.60:2026/hbyx.php?id=cctv5
CCTV-5,http://82.156.59.211:3631/yspios.php?id=cctv5
CCTV-5,http://api.mgsp.eu.cc/641886683
CCTV-5,http://45.192.97.170:8880/play/399.m3u8
CCTV-5,http://45.192.97.170:8880/play/396.m3u8
CCTV-5+,http://api.mgsp.eu.cc/641886773
CCTV-5+,http://82.156.59.211:3631/yspios.php?id=cctv5p
CCTV-5+,http://43.248.187.60:2026/hbyx.php?id=cctv5jia
CCTV-5+,http://45.192.97.170:8880/play/462.m3u8
CCTV-5+,http://45.192.97.170:8880/play/402.m3u8
CCTV-6,http://43.248.187.60:2026/hbyx.php?id=cctv6
CCTV-6,http://82.156.59.211:3631/yspios.php?id=cctv6
CCTV-6,http://api.mgsp.eu.cc/624878396
CCTV-6,http://45.192.97.170:8880/play/408.m3u8
CCTV-6,http://45.192.97.170:8880/play/411.m3u8
CCTV-7,http://api.mgsp.eu.cc/673168121
CCTV-7,http://82.156.59.211:3631/yspios.php?id=cctv7
CCTV-7,http://43.248.187.60:2026/hbyx.php?id=cctv7
CCTV-7,http://45.192.97.170:8880/play/1171.m3u8
CCTV-7,http://45.192.97.170:8880/play/1170.m3u8
CCTV-8,http://43.248.187.60:2026/hbyx.php?id=cctv8
CCTV-8,http://api.mgsp.eu.cc/624878356
CCTV-8,http://82.156.59.211:3631/yspios.php?id=cctv8
CCTV-8,http://45.192.97.170:8880/play/636.m3u8
CCTV-8,http://45.192.97.170:8880/play/424.m3u8
CCTV-9,http://api.mgsp.eu.cc/673168140
CCTV-9,http://82.156.59.211:3631/yspios.php?id=cctv9
CCTV-9,http://43.248.187.60:2026/hbyx.php?id=cctv9
CCTV-9,http://45.192.97.170:8880/play/432.m3u8
CCTV-9,http://45.192.97.170:8880/play/429.m3u8
CCTV-10,http://43.248.187.60:2026/hbyx.php?id=cctv10
CCTV-10,http://api.mgsp.eu.cc/624878405
CCTV-10,http://82.156.59.211:3631/yspios.php?id=cctv10
CCTV-10,http://45.192.97.170:8880/play/435.m3u8
CCTV-10,http://45.192.97.170:8880/play/467.m3u8
CCTV-11,http://43.248.187.60:2026/hbyx.php?id=cctv11
CCTV-11,http://api.mgsp.eu.cc/667987558
CCTV-11,http://82.156.59.211:3631/yspios.php?id=cctv11
CCTV-11,http://45.192.97.170:8880/play/441.m3u8
CCTV-11,http://45.192.97.170:8880/play/442.m3u8
CCTV-12,http://43.248.187.60:2026/hbyx.php?id=cctv12
CCTV-12,http://api.mgsp.eu.cc/673168185
CCTV-12,http://82.156.59.211:3631/yspios.php?id=cctv12
CCTV-12,http://45.192.97.170:8880/play/449.m3u8
CCTV-12,http://45.192.97.170:8880/play/446.m3u8
CCTV-13,http://api.mgsp.eu.cc/608807423
CCTV-13,http://82.156.59.211:3631/yspios.php?id=cctv13
CCTV-13,http://43.248.187.60:2026/hbyx.php?id=cctvxinwen
CCTV-13,http://45.192.97.170:8880/play/453.m3u8
CCTV-13,http://45.192.97.170:8880/play/641.m3u8
CCTV-14,http://82.156.59.211:3631/yspios.php?id=cctv14
CCTV-14,http://api.mgsp.eu.cc/624878440
CCTV-14,http://43.248.187.60:2026/hbyx.php?id=cctv14
CCTV-14,http://45.192.97.170:8880/play/1182.m3u8
CCTV-14,http://45.192.97.170:8880/play/1181.m3u8
CCTV-15,http://43.248.187.60:2026/hbyx.php?id=cctvmusic
CCTV-15,http://82.156.59.211:3631/yspios.php?id=cctv15
CCTV-15,http://api.mgsp.eu.cc/673168223
CCTV-15,http://45.192.97.170:8880/play/1183.m3u8
CCTV-15,http://45.192.97.170:8880/play/738.m3u8
CCTV-16,http://43.248.187.60:2026/hbyx.php?id=cctv16
CCTV-16,http://82.156.59.211:3631/yspios.php?id=cctv16
CCTV-16,http://82.156.59.211:3631/yspios.php?id=cctv164k
CCTV-16,http://45.192.97.170:8880/play/1185.m3u8
CCTV-16,http://45.192.97.170:8880/play/1186.m3u8
CCTV-17,http://82.156.59.211:3631/yspios.php?id=cctv17
CCTV-17,http://api.mgsp.eu.cc/673168256
CCTV-17,http://43.248.187.60:2026/hbyx.php?id=cctv17
CCTV-17,http://45.192.97.170:8880/play/1187.m3u8
CCTV-17,http://45.192.97.170:8880/play/1188.m3u8

💰央视付费频道,#genre#
第一剧场,http://45.192.97.170:8880/play/1154.m3u8
怀旧剧场,http://45.192.97.170:8880/play/1155.m3u8

📡卫视频道,#genre#
广东卫视,http://43.248.187.60:2026/hbyx.php?id=gdws
广东卫视,http://82.156.59.211:3631/yspios.php?id=gdws
广东卫视,http://api.mgsp.eu.cc/608831231
广东卫视,http://45.192.97.170:8880/play/491.m3u8
广东卫视,http://45.192.97.170:8880/play/492.m3u8
浙江卫视,http://43.248.187.60:2026/hbyx.php?id=zjws
浙江卫视,http://107.150.60.122/live/zjwshd.m3u8
浙江卫视,http://82.156.59.211:3631/yspios.php?id=zjws
浙江卫视,http://45.192.97.170:8880/play/505.m3u8
浙江卫视,http://45.192.97.170:8880/play/480.m3u8
湖南卫视,http://110.42.52.180:6688/live/live.php?token=8DJZeof6z8&id=hunws
湖南卫视,http://43.248.187.60:2026/hbyx.php?id=hnws
湖南卫视,http://107.150.60.122/live/hnwshd.m3u8
湖南卫视,http://182.92.222.68:3526/live/4k/hnws.php?id=hnws4k
湖南卫视,http://82.156.59.211:3631/yspios.php?id=hnws
北京卫视,http://82.156.59.211:3631/yspios.php?id=bjws
北京卫视,http://43.248.187.60:2026/hbyx.php?id=bjws
北京卫视,http://182.92.222.68:3526/live/4k/bjws.php?id=bjws4k
北京卫视,http://45.192.97.170:8880/play/1199.m3u8
北京卫视,http://45.192.97.170:8880/play/955.m3u8
湖北卫视,http://43.248.187.60:2026/hbyx.php?id=hbws
湖北卫视,http://82.156.59.211:3631/yspios.php?id=hbws
湖北卫视,http://api.mgsp.eu.cc/947472496
湖北卫视,http://45.192.97.170:8880/play/1217.m3u8
湖北卫视,http://45.192.97.170:8880/play/521.m3u8
黑龙江卫视,http://43.248.187.60:2026/hbyx.php?id=hljws
黑龙江卫视,http://82.156.59.211:3631/yspios.php?id=hljws
黑龙江卫视,http://45.192.97.170:8880/play/973.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/612.m3u8
黑龙江卫视,http://45.192.97.170:8880/play/537.m3u8
安徽卫视,http://43.248.187.60:2026/hbyx.php?id=ahws
安徽卫视,http://82.156.59.211:3631/yspios.php?id=ahws
安徽卫视,http://45.192.97.170:8880/play/1204.m3u8
安徽卫视,http://45.192.97.170:8880/play/621.m3u8
安徽卫视,http://45.192.97.170:8880/play/954.m3u8
重庆卫视,http://43.248.187.60:2026/hbyx.php?id=cqws
重庆卫视,http://82.156.59.211:3631/yspios.php?id=cqws
重庆卫视,http://45.192.97.170:8880/play/1225.m3u8
重庆卫视,http://45.192.97.170:8880/play/1226.m3u8
重庆卫视,http://45.192.97.170:8880/play/583.m3u8
东方卫视,http://api.mgsp.eu.cc/651632648
东方卫视,http://82.156.59.211:3631/yspios.php?id=dfws
东方卫视,http://107.150.60.122/live/dfwshd.m3u8
东方卫视,http://43.248.187.60:2026/hbyx.php?id=dfws
东方卫视,http://45.192.97.170:8880/play/1196.m3u8
东南卫视,http://82.156.59.211:3631/yspios.php?id=fjd nws
东南卫视,http://api.mgsp.eu.cc/849116810
东南卫视,http://45.192.97.170:8880/play/1195.m3u8
东南卫视,http://45.192.97.170:8880/play/1194.m3u8
甘肃卫视,http://43.248.187.60:2026/hbyx.php?id=gsws
甘肃卫视,http://82.156.59.211:3631/yspios.php?id=gsws
甘肃卫视,http://45.192.97.170:8880/play/1221.m3u8
甘肃卫视,http://45.192.97.170:8880/play/574.m3u8
广西卫视,http://43.248.187.60:2026/hbyx.php?id=gxws
广西卫视,http://82.156.59.211:3631/yspios.php?id=gxws
广西卫视,http://45.192.97.170:8880/play/1207.m3u8
广西卫视,http://45.192.97.170:8880/play/565.m3u8
广西卫视,http://45.192.97.170:8880/play/564.m3u8
贵州卫视,http://82.156.59.211:3631/yspios.php?id=gzws
贵州卫视,http://43.248.187.60:2026/hbyx.php?id=gzws
贵州卫视,http://45.192.97.170:8880/play/619.m3u8
贵州卫视,http://45.192.97.170:8880/play/534.m3u8
贵州卫视,http://45.192.97.170:8880/play/532.m3u8
海南卫视,http://82.156.59.211:3631/yspios.php?id=hanws
海南卫视,http://43.248.187.60:2026/hbyx.php?id=hnws_1
海南卫视,http://api.mgsp.eu.cc/947472502
河北卫视,http://82.156.59.211:3631/yspios.php?id=hbws2
河北卫视,http://43.248.187.60:2026/hbyx.php?id=hbws_1
河北卫视,http://45.192.97.170:8880/play/1211.m3u8
河北卫视,http://45.192.97.170:8880/play/501.m3u8
河南卫视,http://43.248.187.60:2026/hbyx.php?id=hnws_2
河南卫视,http://82.156.59.211:3631/yspios.php?id=hnws2
河南卫视,http://api.mgsp.eu.cc/790187291
河南卫视,http://45.192.97.170:8880/play/883.m3u8
河南卫视,http://45.192.97.170:8880/play/1212.m3u8
吉林卫视,http://43.248.187.60:2026/hbyx.php?id=jlws
吉林卫视,http://api.mgsp.eu.cc/947472500
吉林卫视,http://82.156.59.211:3631/yspios.php?id=jlws
吉林卫视,http://45.192.97.170:8880/play/1200.m3u8
吉林卫视,http://45.192.97.170:8880/play/616.m3u8
江苏卫视,http://43.248.187.60:2026/hbyx.php?id=jsws
江苏卫视,http://api.mgsp.eu.cc/623899368
江苏卫视,http://82.156.59.211:3631/yspios.php?id=jsws
江苏卫视,http://45.192.97.170:8880/play/496.m3u8
江苏卫视,http://45.192.97.170:8880/play/649.m3u8
江西卫视,http://82.156.59.211:3631/yspios.php?id=jxws
江西卫视,http://api.mgsp.eu.cc/783847495
江西卫视,http://43.248.187.60:2026/hbyx.php?id=jxws
江西卫视,http://45.192.97.170:8880/play/1210.m3u8
江西卫视,http://45.192.97.170:8880/play/970.m3u8
辽宁卫视,http://43.248.187.60:2026/hbyx.php?id=lnws
辽宁卫视,http://82.156.59.211:3631/yspios.php?id=lnws
辽宁卫视,http://45.192.97.170:8880/play/1223.m3u8
辽宁卫视,http://45.192.97.170:8880/play/1224.m3u8
辽宁卫视,http://45.192.97.170:8880/play/652.m3u8
内蒙古卫视,http://43.248.187.60:2026/hbyx.php?id=nmgws
内蒙古卫视,http://82.156.59.211:3631/yspios.php?id=nmgws
宁夏卫视,http://82.156.59.211:3631/yspios.php?id=nxws
宁夏卫视,http://43.248.187.60:2026/hbyx.php?id=nxws
青海卫视,http://api.mgsp.eu.cc/947472506
青海卫视,http://43.248.187.60:2026/hbyx.php?id=qhws
青海卫视,http://82.156.59.211:3631/yspios.php?id=qhws
青海卫视,http://45.192.97.170:8880/play/1229.m3u8
山东卫视,http://43.248.187.60:2026/hbyx.php?id=sdws
山东卫视,http://82.156.59.211:3631/yspios.php?id=sdws
